Industry Description,Year,Value,total_labor_comp,surplus,surplus_rate
"Motor vehicles, bodies and trailers, and parts",2007,124861.0,72484.0,52377.0,0.41948246450052457
"Motor vehicles, bodies and trailers, and parts",2008,90123.0,63683.0,26440.0,0.293376829444204
"Motor vehicles, bodies and trailers, and parts",2009,47708.0,37414.0,10294.0,0.21577093988429613
"Motor vehicles, bodies and trailers, and parts",2010,88698.0,48567.0,40131.0,0.4524453764459176
"Motor vehicles, bodies and trailers, and parts",2011,104337.0,52541.0,51796.0,0.49642983792901846
"Motor vehicles, bodies and trailers, and parts",2012,115615.0,56836.0,58779.0,0.5084028888984994
"Motor vehicles, bodies and trailers, and parts",2013,123138.0,59316.0,63822.0,0.5182965453393753
"Motor vehicles, bodies and trailers, and parts",2014,132807.0,64719.0,68088.0,0.5126838193769907
"Motor vehicles, bodies and trailers, and parts",2015,146483.0,69906.0,76577.0,0.522770560406327
"Motor vehicles, bodies and trailers, and parts",2016,155669.0,72429.0,83240.0,0.5347243189074253
"Motor vehicles, bodies and trailers, and parts",2017,158910.0,75338.0,83572.0,0.5259077465231893
"Motor vehicles, bodies and trailers, and parts",2018,160874.0,79772.0,81102.0,0.5041336698285614
"Motor vehicles, bodies and trailers, and parts",2019,161492.0,80308.0,81184.0,0.5027122086542987
"Motor vehicles, bodies and trailers, and parts",2020,142401.0,71788.0,70613.0,0.4958743267252337
"Motor vehicles, bodies and trailers, and parts",2021,142858.0,77724.0,65134.0,0.4559352643884137
"Motor vehicles, bodies and trailers, and parts",2022,159912.0,88336.0,71576.0,0.44759617789784384
"Motor vehicles, bodies and trailers, and parts",2023,176066.0,93737.0,82329.0,0.46760305794418
Other transportation equipment,1997,62491.0,46806.0,15685.0,0.25099614344465604
Other transportation equipment,1998,66779.0,50279.0,16500.0,0.247083664026116
Other transportation equipment,1999,73780.0,51340.0,22440.0,0.30414746543778803
Other transportation equipment,2000,71051.0,50832.0,20219.0,0.2845702382795457
Other transportation equipment,2001,76811.0,51963.0,24848.0,0.3234953326997435
Other transportation equipment,2002,72910.0,51110.0,21800.0,0.2989987656014264
Other transportation equipment,2003,72507.0,51390.0,21117.0,0.29124084571144854
Other transportation equipment,2004,75790.0,56400.0,19390.0,0.25583850112152
Other transportation equipment,2005,89643.0,57606.0,32037.0,0.3573842910210502
Other transportation equipment,2006,96179.0,62328.0,33851.0,0.3519583277014733
Other transportation equipment,2007,114184.0,66237.0,47947.0,0.4199099698731871
Other transportation equipment,2008,114514.0,68711.0,45803.0,0.3999772953525333
Other transportation equipment,2009,117298.0,67226.0,50072.0,0.426878548653856
Other transportation equipment,2010,120697.0,66859.0,53838.0,0.44605913982949036
Other transportation equipment,2011,127117.0,69515.0,57602.0,0.4531415939646153
Other transportation equipment,2012,126817.0,72072.0,54745.0,0.43168502645544365
Other transportation equipment,2013,133133.0,74230.0,58903.0,0.44243726198613414
Other transportation equipment,2014,138617.0,76491.0,62126.0,0.4481845661066103
Other transportation equipment,2015,147925.0,78114.0,69811.0,0.4719351022477607
Other transportation equipment,2016,146712.0,77570.0,69142.0,0.4712770598178745
Other transportation equipment,2017,150811.0,79828.0,70983.0,0.470675215998833
Other transportation equipment,2018,159243.0,84100.0,75143.0,0.47187631481446596
Other transportation equipment,2019,165471.0,87912.0,77559.0,0.46871657269249595
Other transportation equipment,2020,143566.0,83427.0,60139.0,0.4188944457601382
Other transportation equipment,2021,152862.0,81728.0,71134.0,0.4653478300689511
Other transportation equipment,2022,160263.0,91215.0,69048.0,0.43084180378502834
Other transportation equipment,2023,190120.0,100270.0,89850.0,0.4725962549968441
Furniture and related products,1997,27896.0,21449.0,6447.0,0.2311084026383711
Furniture and related products,1998,29628.0,22996.0,6632.0,0.22384231132712298
Furniture and related products,1999,31626.0,24407.0,7219.0,0.2282615569468159
Furniture and related products,2000,33483.0,25474.0,8009.0,0.23919600991547948
Furniture and related products,2001,31167.0,24769.0,6398.0,0.2052812269387493
Furniture and related products,2002,31211.0,24297.0,6914.0,0.2215244625292365
Furniture and related products,2003,30353.0,24577.0,5776.0,0.19029420485619214
Furniture and related products,2004,30948.0,25172.0,5776.0,0.18663564689156004
Furniture and related products,2005,33651.0,26013.0,7638.0,0.2269769100472497
Furniture and related products,2006,34489.0,25941.0,8548.0,0.24784713966772015
Furniture and related products,2007,32475.0,25867.0,6608.0,0.20347959969207083
Furniture and related products,2008,27820.0,24120.0,3700.0,0.13299784327821712
Furniture and related products,2009,22783.0,19575.0,3208.0,0.14080674186893735
Furniture and related products,2010,21820.0,17843.0,3977.0,0.1822639780018332
Furniture and related products,2011,21954.0,18063.0,3891.0,0.1772342169991801
Furniture and related products,2012,22392.0,18528.0,3864.0,0.17256162915326903
Furniture and related products,2013,23861.0,19401.0,4460.0,0.18691588785046728
Furniture and related products,2014,25359.0,20382.0,4977.0,0.19626168224299065
Furniture and related products,2015,28411.0,21926.0,6485.0,0.22825666115237056
Furniture and related products,2016,29247.0,22179.0,7068.0,0.24166581187814135
Furniture and related products,2017,28855.0,23576.0,5279.0,0.18294922890313636
Furniture and related products,2018,29903.0,24580.0,5323.0,0.17800889542855233
Furniture and related products,2019,30338.0,23729.0,6609.0,0.21784560617047927
Furniture and related products,2020,29443.0,22368.0,7075.0,0.2402948069150562
Furniture and related products,2021,29980.0,24393.0,5587.0,0.1863575717144763
Furniture and related products,2022,32222.0,26865.0,5357.0,0.16625287070945316
Furniture and related products,2023,32241.0,26924.0,5317.0,0.16491423963276575
Miscellaneous manufacturing,1997,52128.0,35508.0,16620.0,0.3188305709023941
Miscellaneous manufacturing,1998,55166.0,38003.0,17163.0,0.3111155421817786
Miscellaneous manufacturing,1999,57549.0,39144.0,18405.0,0.3198144190168378
Miscellaneous manufacturing,2000,59086.0,41223.0,17863.0,0.3023220390617067
Miscellaneous manufacturing,2001,57379.0,41074.0,16305.0,0.28416319559420694
Miscellaneous manufacturing,2002,60922.0,40566.0,20356.0,0.3341321690029874
Miscellaneous manufacturing,2003,62049.0,42097.0,19952.0,0.32155232155232155
Miscellaneous manufacturing,2004,63737.0,45065.0,18672.0,0.29295385725716616
Miscellaneous manufacturing,2005,66142.0,46092.0,20050.0,0.30313567778416134
Miscellaneous manufacturing,2006,70326.0,47947.0,22379.0,0.3182180132525666
Miscellaneous manufacturing,2007,72149.0,49446.0,22703.0,0.3146682559702837
Miscellaneous manufacturing,2008,75425.0,50215.0,25210.0,0.3342393105734173
Miscellaneous manufacturing,2009,81251.0,47467.0,33784.0,0.41579795940973036
Miscellaneous manufacturing,2010,83105.0,47364.0,35741.0,0.4300703928764816
Miscellaneous manufacturing,2011,80348.0,48238.0,32110.0,0.3996365808732016
Miscellaneous manufacturing,2012,81323.0,50042.0,31281.0,0.38465132865241075
Miscellaneous manufacturing,2013,78407.0,50365.0,28042.0,0.35764663869297386
Miscellaneous manufacturing,2014,78776.0,52320.0,26456.0,0.33583832639382555
Miscellaneous manufacturing,2015,77775.0,56107.0,21668.0,0.2785985213757634
Miscellaneous manufacturing,2016,83818.0,56016.0,27802.0,0.3316948626786609
Miscellaneous manufacturing,2017,86379.0,57807.0,28572.0,0.33077484110721356
Miscellaneous manufacturing,2018,91338.0,60448.0,30890.0,0.33819439882633734
Miscellaneous manufacturing,2019,91057.0,62021.0,29036.0,0.3188771868170487
Miscellaneous manufacturing,2020,91774.0,57413.0,34361.0,0.3744088739730207
Miscellaneous manufacturing,2021,97885.0,62691.0,35194.0,0.35954436328344486
Miscellaneous manufacturing,2022,105670.0,69063.0,36607.0,0.34642755749029996
Miscellaneous manufacturing,2023,116514.0,72047.0,44467.0,0.3816451241910843
Food and beverage and tobacco products,1997,123008.0,64374.0,58634.0,0.47666818418314255
Food and beverage and tobacco products,1998,128027.0,68933.0,59094.0,0.4615745116264538
Food and beverage and tobacco products,1999,149882.0,71150.0,78732.0,0.5252932306747975
Food and beverage and tobacco products,2000,149758.0,73347.0,76411.0,0.51022983747112
Food and beverage and tobacco products,2001,160511.0,75239.0,85272.0,0.5312533097420115
Food and beverage and tobacco products,2002,161446.0,76197.0,85249.0,0.5280341414466757
Food and beverage and tobacco products,2003,164095.0,79215.0,84880.0,0.5172613425150066
Food and beverage and tobacco products,2004,160773.0,81070.0,79703.0,0.495748664265766
Food and beverage and tobacco products,2005,162550.0,81529.0,81021.0,0.49843740387573054
Food and beverage and tobacco products,2006,177666.0,82457.0,95209.0,0.5358875643060574
Food and beverage and tobacco products,2007,177938.0,85743.0,92195.0,0.5181299104182355
Food and beverage and tobacco products,2008,183310.0,87889.0,95421.0,0.5205444329278271
Food and beverage and tobacco products,2009,213273.0,87834.0,125439.0,0.5881616519671969
Food and beverage and tobacco products,2010,197396.0,89925.0,107471.0,0.5444436564064115
Food and beverage and tobacco products,2011,184366.0,90172.0,94194.0,0.5109076510853411
Food and beverage and tobacco products,2012,194341.0,94363.0,99978.0,0.5144462568372088
Food and beverage and tobacco products,2013,205034.0,96840.0,108194.0,0.5276880907556796
Food and beverage and tobacco products,2014,217247.0,101771.0,115476.0,0.5315424378702582
Food and beverage and tobacco products,2015,242885.0,105843.0,137042.0,0.5642258682092348
Food and beverage and tobacco products,2016,247252.0,109901.0,137351.0,0.5555101677640626
Food and beverage and tobacco products,2017,252004.0,115921.0,136083.0,0.5400033332804242
Food and beverage and tobacco products,2018,248100.0,120186.0,127914.0,0.5155743651753325
Food and beverage and tobacco products,2019,251145.0,123926.0,127219.0,0.5065559736407255
Food and beverage and tobacco products,2020,268329.0,128464.0,139865.0,0.5212444424568347
Food and beverage and tobacco products,2021,284588.0,134249.0,150339.0,0.5282689361462887
Food and beverage and tobacco products,2022,275806.0,152652.0,123154.0,0.4465240060042204
Food and beverage and tobacco products,2023,315475.0,155977.0,159498.0,0.5055804738885807
Textile mills and textile product mills,1997,27359.0,20918.0,6441.0,0.23542527139149821
Textile mills and textile product mills,1998,28047.0,21400.0,6647.0,0.23699504403322993
Textile mills and textile product mills,1999,28459.0,21230.0,7229.0,0.2540145472434028
Textile mills and textile product mills,2000,27959.0,20993.0,6966.0,0.24915054186487356
Textile mills and textile product mills,2001,24844.0,19110.0,5734.0,0.23080019320560297
Textile mills and textile product mills,2002,23990.0,18570.0,5420.0,0.2259274697790746
Textile mills and textile product mills,2003,18679.0,17634.0,1045.0,0.05594517907810911
Textile mills and textile product mills,2004,22118.0,17202.0,4916.0,0.22226241070621214
Textile mills and textile product mills,2005,20634.0,16219.0,4415.0,0.2139672385383348
Textile mills and textile product mills,2006,20048.0,15699.0,4349.0,0.2169293695131684
Textile mills and textile product mills,2007,19261.0,15669.0,3592.0,0.18649083640517108
Textile mills and textile product mills,2008,17810.0,14732.0,3078.0,0.17282425603593488
Textile mills and textile product mills,2009,15093.0,12214.0,2879.0,0.19075067912277216
Textile mills and textile product mills,2010,15531.0,11747.0,3784.0,0.24364174876054343
Textile mills and textile product mills,2011,15046.0,11601.0,3445.0,0.22896450883955868
Textile mills and textile product mills,2012,15945.0,11831.0,4114.0,0.25801191596111633
Textile mills and textile product mills,2013,16668.0,12373.0,4295.0,0.25767938564914805
Textile mills and textile product mills,2014,17638.0,12695.0,4943.0,0.28024719355936045
Textile mills and textile product mills,2015,17687.0,12967.0,4720.0,0.26686266749590093
Textile mills and textile product mills,2016,18188.0,13070.0,5118.0,0.28139432592918406
Textile mills and textile product mills,2017,17296.0,13195.0,4101.0,0.23710684551341352
Textile mills and textile product mills,2018,16580.0,13070.0,3510.0,0.21170084439083234
Textile mills and textile product mills,2019,16688.0,13021.0,3667.0,0.21973873441994246
Textile mills and textile product mills,2020,15870.0,11764.0,4106.0,0.25872715816005043
Textile mills and textile product mills,2021,16997.0,12606.0,4391.0,0.2583397070071189
Textile mills and textile product mills,2022,17376.0,13876.0,3500.0,0.20142725598526703
Textile mills and textile product mills,2023,16997.0,13155.0,3842.0,0.2260398893922457
Apparel and leather and allied products,1997,25143.0,19069.0,6074.0,0.24157817285129063
Apparel and leather and allied products,1998,23407.0,19174.0,4233.0,0.18084333746315204
Apparel and leather and allied products,1999,22388.0,18157.0,4231.0,0.18898517062712167
Apparel and leather and allied products,2000,22135.0,17096.0,5039.0,0.22764852044273776
Apparel and leather and allied products,2001,19443.0,15648.0,3795.0,0.1951859280975158
Apparel and leather and allied products,2002,18123.0,14098.0,4025.0,0.22209347238315952
Apparel and leather and allied products,2003,15472.0,13484.0,1988.0,0.12849017580144778
Apparel and leather and allied products,2004,14565.0,12705.0,1860.0,0.12770339855818744
Apparel and leather and allied products,2005,13821.0,12451.0,1370.0,0.09912452065697128
Apparel and leather and allied products,2006,12845.0,12225.0,620.0,0.04826780848579214
Apparel and leather and allied products,2007,11834.0,10939.0,895.0,0.07562954199763394
Apparel and leather and allied products,2008,11560.0,10760.0,800.0,0.06920415224913495
Apparel and leather and allied products,2009,9858.0,9127.0,731.0,0.07415297220531548
Apparel and leather and allied products,2010,10377.0,9685.0,692.0,0.06668594005974753
Apparel and leather and allied products,2011,10119.0,8944.0,1175.0,0.11611819349738116
Apparel and leather and allied products,2012,9995.0,9543.0,452.0,0.045222611305652825
Apparel and leather and allied products,2013,10221.0,9225.0,996.0,0.09744643381273847
Apparel and leather and allied products,2014,9917.0,9240.0,677.0,0.06826661288696179
Apparel and leather and allied products,2015,9699.0,9471.0,228.0,0.023507578100835137
Apparel and leather and allied products,2016,9624.0,9116.0,508.0,0.05278470490440565
Apparel and leather and allied products,2017,9434.0,8948.0,486.0,0.051515793936824254
Apparel and leather and allied products,2018,9303.0,8532.0,771.0,0.08287649145436955
Apparel and leather and allied products,2019,9604.0,8295.0,1309.0,0.13629737609329445
Apparel and leather and allied products,2020,9441.0,7311.0,2130.0,0.22561169367651732
Apparel and leather and allied products,2021,10761.0,7666.0,3095.0,0.2876126754019143
Apparel and leather and allied products,2022,12259.0,9615.0,2644.0,0.21567827718410965
Apparel and leather and allied products,2023,12404.0,9218.0,3186.0,0.25685262818445664
Paper products,1997,55278.0,31656.0,23622.0,0.4273309454032346
Paper products,1998,55766.0,31894.0,23872.0,0.4280744539683678
Paper products,1999,59318.0,32706.0,26612.0,0.4486327927441923
Paper products,2000,62079.0,33240.0,28839.0,0.4645532305610593
Paper products,2001,53397.0,32611.0,20786.0,0.38927280558832894
Paper products,2002,54021.0,31980.0,22041.0,0.4080079968900983
Paper products,2003,50925.0,31824.0,19101.0,0.375081001472754
Paper products,2004,52634.0,31316.0,21318.0,0.40502336892502944
Paper products,2005,51567.0,31314.0,20253.0,0.392751178079004
Paper products,2006,57868.0,31081.0,26787.0,0.4628983203152001
Paper products,2007,55630.0,31376.0,24254.0,0.43598777637965125
Paper products,2008,51290.0,31216.0,20074.0,0.3913823357379606
Paper products,2009,59128.0,28472.0,30656.0,0.5184684075226627
Paper products,2010,56279.0,28906.0,27373.0,0.486380355016969
Paper products,2011,53734.0,29194.0,24540.0,0.4566940856813191
Paper products,2012,53055.0,29123.0,23932.0,0.4510790688907737
Paper products,2013,56486.0,29353.0,27133.0,0.4803491130545622
Paper products,2014,56894.0,29785.0,27109.0,0.4764825816430555
Paper products,2015,59873.0,30172.0,29701.0,0.4960666744609423
Paper products,2016,58664.0,29958.0,28706.0,0.4893290604118369
Paper products,2017,55778.0,30386.0,25392.0,0.45523324608268495
Paper products,2018,60127.0,31316.0,28811.0,0.47916909208841285
Paper products,2019,62593.0,32452.0,30141.0,0.4815394692697266
Paper products,2020,64921.0,31764.0,33157.0,0.51072842377659
Paper products,2021,64429.0,32198.0,32231.0,0.5002560958574555
Paper products,2022,70094.0,34609.0,35485.0,0.5062487516763203
Paper products,2023,74564.0,35560.0,39004.0,0.5230942546000751
Printing and related support activities,1997,37381.0,35018.0,2363.0,0.06321393221155132
Printing and related support activities,1998,39627.0,36323.0,3304.0,0.08337749514220102
Printing and related support activities,1999,42113.0,36916.0,5197.0,0.1234060741338779
Printing and related support activities,2000,43619.0,37499.0,6120.0,0.1403058300281987
Printing and related support activities,2001,42659.0,36838.0,5821.0,0.13645420661525118
Printing and related support activities,2002,42079.0,34935.0,7144.0,0.16977589771620047
Printing and related support activities,2003,42131.0,34478.0,7653.0,0.1816477178324749
Printing and related support activities,2004,42693.0,34695.0,7998.0,0.1873375026350924
Printing and related support activities,2005,44405.0,34651.0,9754.0,0.2196599482040311
Printing and related support activities,2006,46760.0,34485.0,12275.0,0.26251069289991447
Printing and related support activities,2007,47648.0,35168.0,12480.0,0.2619207521826729
Printing and related support activities,2008,45144.0,33789.0,11355.0,0.251528442317916
Printing and related support activities,2009,39586.0,28869.0,10717.0,0.27072702470570403
Printing and related support activities,2010,39406.0,28190.0,11216.0,0.2846267065929046
Printing and related support activities,2011,38736.0,27261.0,11475.0,0.2962360594795539
Printing and related support activities,2012,38392.0,26580.0,11812.0,0.30766826422171284
Printing and related support activities,2013,39031.0,26765.0,12266.0,0.3142630217006994
Printing and related support activities,2014,39109.0,27357.0,11752.0,0.3004934925464727
Printing and related support activities,2015,40303.0,27162.0,13141.0,0.32605513237227995
Printing and related support activities,2016,41114.0,27215.0,13899.0,0.3380600282142336
Printing and related support activities,2017,40552.0,27302.0,13250.0,0.32674097455119355
Printing and related support activities,2018,41425.0,27411.0,14014.0,0.3382981291490646
Printing and related support activities,2019,41455.0,27736.0,13719.0,0.33093716077674584
Printing and related support activities,2020,36401.0,24084.0,12317.0,0.33836982500480756
Printing and related support activities,2021,38821.0,25219.0,13602.0,0.35037737307127587
Printing and related support activities,2022,41487.0,27301.0,14186.0,0.3419384385470147
Printing and related support activities,2023,42793.0,27954.0,14839.0,0.3467623209403407
Petroleum and coal products,1997,47394.0,10586.0,36808.0,0.7766383930455332
Petroleum and coal products,1998,50006.0,10656.0,39350.0,0.7869055713314402
Petroleum and coal products,1999,45124.0,11065.0,34059.0,0.7547868096799929
Petroleum and coal products,2000,52554.0,11084.0,41470.0,0.7890931232636906
Petroleum and coal products,2001,68200.0,12083.0,56117.0,0.8228299120234605
Petroleum and coal products,2002,50606.0,11235.0,39371.0,0.777990752084733
Petroleum and coal products,2003,81117.0,12167.0,68950.0,0.8500067803296473
Petroleum and coal products,2004,104042.0,12527.0,91515.0,0.8795967013321543
Petroleum and coal products,2005,140857.0,13466.0,127391.0,0.9043994973625734
Petroleum and coal products,2006,139727.0,15610.0,124117.0,0.8882821501928762
Petroleum and coal products,2007,154493.0,15770.0,138723.0,0.8979241777944632
Petroleum and coal products,2008,154480.0,16349.0,138131.0,0.8941675297773175
Petroleum and coal products,2009,110458.0,16464.0,93994.0,0.8509478715892014
Petroleum and coal products,2010,123702.0,16444.0,107258.0,0.8670676302727522
Petroleum and coal products,2011,158663.0,16913.0,141750.0,0.893402998808796
Petroleum and coal products,2012,158992.0,17959.0,141033.0,0.8870446311764114
Petroleum and coal products,2013,146090.0,18595.0,127495.0,0.8727154493805188
Petroleum and coal products,2014,147410.0,19061.0,128349.0,0.8706939827691472
Petroleum and coal products,2015,130977.0,19815.0,111162.0,0.8487138963329439
Petroleum and coal products,2016,75151.0,19421.0,55730.0,0.7415736317547338
Petroleum and coal products,2017,110179.0,19429.0,90750.0,0.8236596810644496
Petroleum and coal products,2018,153777.0,19903.0,133874.0,0.8705723222588554
Petroleum and coal products,2019,142905.0,20956.0,121949.0,0.8533571253630033
Petroleum and coal products,2020,60105.0,19893.0,40212.0,0.6690291989019216
Petroleum and coal products,2021,142681.0,18871.0,123810.0,0.8677399233254602
Petroleum and coal products,2022,229638.0,20271.0,209367.0,0.9117262822355185
Petroleum and coal products,2023,216128.0,21465.0,194663.0,0.9006838540124371
Chemical products,1997,172847.0,64787.0,108060.0,0.6251771798179894
Chemical products,1998,180422.0,67314.0,113108.0,0.6269080267373158
Chemical products,1999,188187.0,70345.0,117842.0,0.6261962834839814
Chemical products,2000,187309.0,74705.0,112604.0,0.6011670555072101
Chemical products,2001,193287.0,75084.0,118203.0,0.6115413866426609
Chemical products,2002,207389.0,74247.0,133142.0,0.6419916196133836
Chemical products,2003,210138.0,76531.0,133607.0,0.6358059941562212
Chemical products,2004,226265.0,78423.0,147842.0,0.6534019843988244
Chemical products,2005,222457.0,81555.0,140902.0,0.6333898236513124
Chemical products,2006,253144.0,82746.0,170398.0,0.6731267578927409
Chemical products,2007,267378.0,86440.0,180938.0,0.6767123697536821
Chemical products,2008,264876.0,87191.0,177685.0,0.6708233286518975
Chemical products,2009,287526.0,84633.0,202893.0,0.7056509672168778
Chemical products,2010,302804.0,86778.0,216026.0,0.7134185809962881
Chemical products,2011,302739.0,87318.0,215421.0,0.7115733354473656
Chemical products,2012,301537.0,90702.0,210835.0,0.6992010930665226
Chemical products,2013,314811.0,92691.0,222120.0,0.7055661968609738
Chemical products,2014,319418.0,98208.0,221210.0,0.6925408085956333
Chemical products,2015,319105.0,101665.0,217440.0,0.6814058068660785
Chemical products,2016,338657.0,99988.0,238669.0,0.7047514151486607
Chemical products,2017,339978.0,103092.0,236886.0,0.6967686144397579
Chemical products,2018,391037.0,105445.0,285592.0,0.7303452102997926
Chemical products,2019,370709.0,111294.0,259415.0,0.6997806905146624
Chemical products,2020,388646.0,114453.0,274193.0,0.705508354646645
Chemical products,2021,457307.0,116410.0,340897.0,0.7454445263247665
Chemical products,2022,517190.0,127930.0,389260.0,0.7526440959802007
Chemical products,2023,527486.0,132577.0,394909.0,0.748662523744706
Plastics and rubber products,1997,57315.0,34651.0,22664.0,0.395428770827881
Plastics and rubber products,1998,61520.0,36774.0,24746.0,0.40224317295188555
Plastics and rubber products,1999,65720.0,38777.0,26943.0,0.4099665246500304
Plastics and rubber products,2000,65264.0,40305.0,24959.0,0.38243135572444226
Plastics and rubber products,2001,63342.0,38892.0,24450.0,0.3859998105522402
Plastics and rubber products,2002,62847.0,38737.0,24110.0,0.38363008576383917
Plastics and rubber products,2003,62514.0,38880.0,23634.0,0.3780593147135042
Plastics and rubber products,2004,63571.0,39274.0,24297.0,0.38220257664658414
Plastics and rubber products,2005,62808.0,40356.0,22452.0,0.35747038593809705
Plastics and rubber products,2006,63787.0,40985.0,22802.0,0.3574709580322009
Plastics and rubber products,2007,63241.0,40610.0,22631.0,0.3578532913774292
Plastics and rubber products,2008,55748.0,39980.0,15768.0,0.2828442275956088
Plastics and rubber products,2009,60403.0,34491.0,25912.0,0.428985315298909
Plastics and rubber products,2010,61832.0,36098.0,25734.0,0.4161922629059387
Plastics and rubber products,2011,62700.0,37729.0,24971.0,0.3982615629984051
Plastics and rubber products,2012,67558.0,39039.0,28519.0,0.42214097516208293
Plastics and rubber products,2013,68520.0,40030.0,28490.0,0.4157910099241097
Plastics and rubber products,2014,66443.0,42101.0,24342.0,0.3663591348975814
Plastics and rubber products,2015,77158.0,43560.0,33598.0,0.4354441535550429
Plastics and rubber products,2016,78539.0,44897.0,33642.0,0.42834769986885496
Plastics and rubber products,2017,76787.0,47155.0,29632.0,0.3858986547202
Plastics and rubber products,2018,80279.0,49309.0,30970.0,0.38577959366708603
Plastics and rubber products,2019,84109.0,50626.0,33483.0,0.3980905729470092
Plastics and rubber products,2020,79932.0,49795.0,30137.0,0.3770329780313266
Plastics and rubber products,2021,82419.0,53772.0,28647.0,0.34757762166490735
Plastics and rubber products,2022,93984.0,58670.0,35314.0,0.3757448076268301
Plastics and rubber products,2023,97029.0,60592.0,36437.0,0.3755269043275722
Wholesale trade,1997,411498.0,283353.0,128145.0,0.311410991061925
Wholesale trade,1998,442008.0,307592.0,134416.0,0.30410309315668493
Wholesale trade,1999,458636.0,320396.0,138240.0,0.30141550161784075
Wholesale trade,2000,493899.0,345772.0,148127.0,0.29991354507702994
Wholesale trade,2001,486105.0,347305.0,138800.0,0.28553501815451393
Wholesale trade,2002,484217.0,346041.0,138176.0,0.285359663126243
Wholesale trade,2003,506873.0,354691.0,152182.0,0.30023694298177256
Wholesale trade,2004,553359.0,371953.0,181406.0,0.32782696224331764
Wholesale trade,2005,600318.0,396558.0,203760.0,0.3394201073431082
Wholesale trade,2006,647658.0,422020.0,225638.0,0.3483906629733594
Wholesale trade,2007,693645.0,445949.0,247696.0,0.3570933258367032
Wholesale trade,2008,721008.0,452358.0,268650.0,0.3726033553025764
Wholesale trade,2009,684497.0,419262.0,265235.0,0.387488915218036
Wholesale trade,2010,727916.0,426980.0,300936.0,0.4134213288346458
Wholesale trade,2011,760534.0,451278.0,309256.0,0.4066300783396929
Wholesale trade,2012,816202.0,469783.0,346419.0,0.424428021494679
Wholesale trade,2013,851874.0,480983.0,370891.0,0.43538246266466635
Wholesale trade,2014,895484.0,503405.0,392079.0,0.4378403187549973
Wholesale trade,2015,949853.0,522826.0,427027.0,0.4495716705637609
Wholesale trade,2016,942104.0,527725.0,414379.0,0.4398442210201846
Wholesale trade,2017,965437.0,544580.0,420857.0,0.43592383552733116
Wholesale trade,2018,988041.0,557918.0,430123.0,0.43532910071545616
Wholesale trade,2019,1029960.0,571213.0,458747.0,0.4454027340867607
Wholesale trade,2020,1057805.0,567333.0,490472.0,0.46366957993202906
Wholesale trade,2021,1123940.0,615870.0,508070.0,0.4520437034005374
Wholesale trade,2022,1282932.0,677289.0,605643.0,0.47207724181796074
Wholesale trade,2023,1362611.0,718961.0,643650.0,0.47236518712970904
Retail trade,1997,476666.0,381969.0,94697.0,0.19866531281861932
Retail trade,1998,517928.0,405762.0,112166.0,0.2165667814831405
Retail trade,1999,536352.0,422316.0,114036.0,0.21261410417039556
Retail trade,2000,562131.0,447352.0,114779.0,0.20418550124437188
Retail trade,2001,587210.0,458141.0,129069.0,0.21980041211832224
Retail trade,2002,608716.0,468667.0,140049.0,0.23007280899467075
Retail trade,2003,638131.0,489545.0,148586.0,0.23284560693650677
Retail trade,2004,655165.0,503350.0,151815.0,0.23172025367655477
Retail trade,2005,688628.0,527076.0,161552.0,0.23459981296142474
Retail trade,2006,708178.0,536956.0,171222.0,0.24177819700696718
Retail trade,2007,706634.0,551698.0,154936.0,0.2192591921702041
Retail trade,2008,691481.0,543576.0,147905.0,0.21389597111128145
Retail trade,2009,685849.0,513386.0,172463.0,0.25145914042303774
Retail trade,2010,704305.0,516929.0,187376.0,0.2660438304427769
Retail trade,2011,715502.0,533631.0,181871.0,0.2541865711067195
Retail trade,2012,747882.0,546300.0,201582.0,0.2695371729764856
Retail trade,2013,794267.0,560854.0,233413.0,0.2938722117373629
Retail trade,2014,823981.0,583321.0,240660.0,0.29206984141624626
Retail trade,2015,885139.0,613482.0,271657.0,0.3069088583826947
Retail trade,2016,932073.0,627181.0,304892.0,0.3271117176444334
Retail trade,2017,968627.0,645367.0,323260.0,0.3337301148945879
Retail trade,2018,1004358.0,669337.0,335021.0,0.33356731364712583
Retail trade,2019,1046165.0,694684.0,351481.0,0.33597090325139917
Retail trade,2020,1095544.0,686689.0,408855.0,0.37319815543693363
Retail trade,2021,1256081.0,752486.0,503595.0,0.4009255772517855
Retail trade,2022,1332082.0,816034.0,516048.0,0.38739957450066886
Retail trade,2023,1466611.0,855401.0,611210.0,0.4167499084624348
Air transportation,1997,47959.0,29767.0,18192.0,0.3793240059217248
Air transportation,1998,46625.0,33337.0,13288.0,0.28499731903485254
Air transportation,1999,48641.0,36976.0,11665.0,0.23981826031537182
Air transportation,2000,47972.0,39611.0,8361.0,0.174289168681731
Air transportation,2001,44894.0,41791.0,3103.0,0.06911836771060721
Air transportation,2002,41586.0,40779.0,807.0,0.019405569181936227
Air transportation,2003,46350.0,38870.0,7480.0,0.16138079827400215
Air transportation,2004,48413.0,38399.0,10014.0,0.20684526883275153
Air transportation,2005,48961.0,36534.0,12427.0,0.25381426032965015
Air transportation,2006,55850.0,36857.0,18993.0,0.3400716204118174
Air transportation,2007,59366.0,39908.0,19458.0,0.3277633662365664
Air transportation,2008,55166.0,38372.0,16794.0,0.3044266395968531
Air transportation,2009,58019.0,35250.0,22769.0,0.392440407452731
